ParName   Value   Gradient
MGparm[1]         0.35 -1.46399e-06
SR_parm[1]      14.4122  4.32392e-05
SR_parm[2]     0.568082 -1.21683e-05
SR_parm[3]       1.2073 -2.21683e-06
recdev1(1988)    -0.175561  1.00748e-06
recdev1(1989)     0.233794  3.07323e-06
recdev1(1990)     0.737248  4.25882e-06
recdev1(1991)     0.883384  3.74396e-06
recdev1(1992)      1.00102 -1.58488e-05
recdev1(1993)      1.07064  6.00905e-06
recdev1(1994)      1.13542   6.5649e-06
recdev1(1995)     0.616011  7.62353e-06
recdev1(1996)     0.672833  1.64493e-05
recdev1(1997)     0.272931  1.46132e-05
recdev1(1998)    -0.322305   8.6278e-06
recdev1(1999)    -0.651448  6.27909e-06
recdev1(2000)     -1.11578  4.83796e-06
recdev1(2001)    -0.859685  6.84787e-06
recdev1(2002)    -0.744207  -9.9202e-06
recdev1(2003)    -0.677549 -3.06121e-06
recdev1(2004)    0.0275268   7.1033e-06
recdev1(2005)    -0.031491  4.33913e-06
recdev1(2006)   -0.0995821  2.19658e-06
recdev1(2007)    -0.465525  3.46638e-07
recdev1(2008)    -0.571134 -5.23492e-06
recdev1(2009)    -0.273196 -8.34839e-06
recdev1(2010)    -0.127379  -8.5807e-06
recdev1(2011)    0.0871165 -1.67253e-05
recdev1(2012)     0.107089 -2.18285e-05
recdev1(2013)    0.0788978 -1.47465e-05
recdev1(2014)     0.193614 -6.49594e-06
recdev1(2015)    0.0563969  -6.8197e-07
recdev1(2016)   -0.0702004  9.06925e-08
recdev1(2017)    -0.331124 -1.10864e-06
recdev1(2018)    -0.309843 -5.12909e-07
recdev1(2019)    -0.193523  3.62586e-06
recdev1(2020)     -0.15438  4.19445e-06
Q_parm[1]    -0.339502 -9.11296e-05
selparm[1]      4.10027  -4.9878e-06
selparm[2]      1.58318   5.4539e-06
selparm[3]      4.01158  2.03872e-05
selparm[4]      1.60078 -2.24675e-05
selparm[5]      1.24863  5.22978e-06
selparm[6]     0.281734   2.4223e-06
selparm[7]    -0.212599 -1.99928e-05
selparm[8]   -0.0961753  2.91873e-06
selparm[9]   -0.0800189  6.23653e-05
selparm[10]   -0.0643112 -2.40684e-05
