ParName   Value   Gradient
MGparm[1]         0.35 -4.51413e-08
SR_parm[1]      14.7619  4.85071e-05
SR_parm[2]      0.61768 -1.22626e-05
SR_parm[3]      1.24294  2.41889e-06
recdev1(1988)    -0.121946 -8.65562e-06
recdev1(1989)     0.240741 -1.26597e-05
recdev1(1990)     0.716005  1.15276e-06
recdev1(1991)     0.846854  1.38686e-05
recdev1(1992)     0.886702 -1.11923e-05
recdev1(1993)      1.00038  1.35915e-05
recdev1(1994)      1.05203 -5.23508e-07
recdev1(1995)     0.594527  1.11684e-05
recdev1(1996)     0.674542  2.26199e-05
recdev1(1997)     0.296075  4.28338e-07
recdev1(1998)    -0.278752  2.72595e-05
recdev1(1999)    -0.565625  2.61871e-05
recdev1(2000)     -1.01763  6.87479e-07
recdev1(2001)    -0.726269  3.09131e-05
recdev1(2002)    -0.620315  -5.6526e-06
recdev1(2003)    -0.582776 -1.24507e-05
recdev1(2004)    0.0555226 -7.13087e-05
recdev1(2005)   -0.0631791 -4.32093e-05
recdev1(2006)    -0.121116  -7.0853e-06
recdev1(2007)    -0.483173  1.76441e-05
recdev1(2008)    -0.619653 -1.72609e-05
recdev1(2009)     -0.37897  3.33904e-05
recdev1(2010)    -0.300938  1.06319e-05
recdev1(2011)   -0.0353226  1.34451e-05
recdev1(2012)     0.047863 -1.68969e-05
recdev1(2013)    0.0583501 -1.21805e-05
recdev1(2014)     0.214937 -1.27847e-05
recdev1(2015)       0.1136 -1.17795e-05
recdev1(2016)    0.0286118 -1.09407e-05
recdev1(2017)    -0.234216  1.08627e-05
recdev1(2018)    -0.290494   1.7478e-05
recdev1(2019)    -0.206727 -2.57195e-06
recdev1(2020)    -0.179643  6.21775e-06
Q_parm[1]   -0.0517852 -1.08229e-05
selparm[1]      3.58108  8.50066e-06
selparm[2]      1.48146 -6.60093e-06
selparm[3]      3.88919  8.20092e-07
selparm[4]      1.54769  2.40037e-07
selparm[5]      1.14294   7.4346e-07
selparm[6]     0.360312 -9.51769e-08
