ParName   Value   Gradient
MGparm[1]     0.287443  1.92088e-06
SR_parm[1]      13.6944 -4.72351e-05
SR_parm[2]     0.638213 -2.56414e-06
SR_parm[3]       1.2787  5.41156e-07
recdev1(1988)    -0.117708  8.27237e-07
recdev1(1989)     0.254295  1.16129e-06
recdev1(1990)     0.746348  2.85343e-06
recdev1(1991)      0.91705 -1.39511e-07
recdev1(1992)     0.848512 -7.14398e-07
recdev1(1993)     0.931644  7.02157e-07
recdev1(1994)       1.0097 -3.55829e-06
recdev1(1995)     0.546696 -1.78536e-06
recdev1(1996)     0.637533 -4.42719e-06
recdev1(1997)     0.266817 -2.99392e-06
recdev1(1998)    -0.292691 -1.12366e-06
recdev1(1999)    -0.570426 -8.35443e-07
recdev1(2000)    -0.994933  4.30391e-08
recdev1(2001)    -0.697367 -2.03972e-07
recdev1(2002)    -0.611303 -1.02956e-06
recdev1(2003)    -0.579519 -1.10145e-06
recdev1(2004)    0.0580332 -6.15957e-06
recdev1(2005)   -0.0484911 -3.36495e-06
recdev1(2006)   -0.0939536 -2.07611e-06
recdev1(2007)    -0.449666  3.20753e-07
recdev1(2008)    -0.593958  1.77372e-06
recdev1(2009)    -0.366617  1.88549e-06
recdev1(2010)    -0.303552  3.90572e-06
recdev1(2011)   -0.0390496  2.46339e-06
recdev1(2012)    0.0636282  2.10029e-06
recdev1(2013)    0.0815137  9.40994e-07
recdev1(2014)      0.23281  4.65467e-07
recdev1(2015)      0.10111  5.30057e-08
recdev1(2016)    0.0223264  7.61276e-07
recdev1(2017)    -0.249332  1.32814e-06
recdev1(2018)    -0.321312  1.95365e-06
recdev1(2019)    -0.200339  2.17735e-06
recdev1(2020)    -0.187803  2.25706e-06
Q_parm[1]    -0.122129 -5.06515e-06
selparm[1]      3.50282  2.80391e-07
selparm[2]      1.55672 -3.03075e-07
selparm[3]      3.90074 -1.04513e-07
selparm[4]      1.67281 -1.60433e-07
selparm[5]     0.328542  6.53098e-08
selparm[6]      3.58529  2.74902e-08
