ParName   Value   Gradient
MGparm[1]         0.35 -8.98442e-07
SR_parm[1]      14.9503 -4.01315e-05
SR_parm[2]     0.682332  7.20077e-06
SR_parm[3]      1.19356 -2.00965e-06
recdev1(1988)    -0.178173 -2.27819e-06
recdev1(1989)     0.249744 -1.99974e-06
recdev1(1990)     0.793585  4.00566e-07
recdev1(1991)      1.00735 -4.35869e-06
recdev1(1992)      0.96756 -3.73821e-06
recdev1(1993)      1.08036 -3.59617e-06
recdev1(1994)      1.17103 -5.73534e-06
recdev1(1995)     0.702536 -4.59391e-06
recdev1(1996)     0.795968 -1.10567e-05
recdev1(1997)     0.426304 -7.78149e-06
recdev1(1998)    -0.166706 -6.31833e-06
recdev1(1999)     -0.49028 -3.81227e-07
recdev1(2000)    -0.929646 -2.06009e-06
recdev1(2001)     -0.64839  1.41149e-06
recdev1(2002)    -0.614042  1.01979e-05
recdev1(2003)     -0.66146  1.22846e-05
recdev1(2004)     -0.05585  2.11241e-05
recdev1(2005)     -0.15005  9.89917e-06
recdev1(2006)    -0.199746  7.68619e-06
recdev1(2007)    -0.551467  6.00679e-06
recdev1(2008)    -0.655359  5.39256e-06
recdev1(2009)    -0.386683  3.37213e-06
recdev1(2010)    -0.253134  5.69065e-06
recdev1(2011)   -0.0130085  7.42373e-06
recdev1(2012)    0.0333896  5.15973e-06
recdev1(2013)    0.0140077  1.36492e-06
recdev1(2014)     0.128375  9.37945e-08
recdev1(2015)  -0.00881246 -1.29411e-06
recdev1(2016)    -0.127174 -3.96567e-07
recdev1(2017)    -0.440098  4.03891e-07
recdev1(2018)    -0.388809  1.25483e-06
recdev1(2019)    -0.223631  9.18523e-07
recdev1(2020)    -0.227684  1.37677e-06
Q_parm[1]    -0.202597 -1.61334e-05
selparm[1]      3.95754  1.60492e-06
selparm[2]      1.43667  -1.5844e-06
selparm[3]      4.10213 -1.81531e-06
selparm[4]      1.48548  1.32258e-06
selparm[5]      4.99939  2.72726e-07
selparm[6]      2.22457  -3.6958e-08
selparm[7]      0.65159  2.05636e-08
selparm[8]     0.207915  1.43162e-07
selparm[9]      2.01432  6.46506e-07
selparm[10]      3.16614  1.80499e-07
selparm[11]    -0.201701  4.89134e-06
selparm[12]   -0.0886404 -1.75907e-06
selparm[13]    -0.126977 -5.92177e-06
selparm[14]   -0.0700418  1.33159e-06
selparm[15]     0.207361  3.85619e-07
selparm[16]   0.00851921  5.06601e-07
selparm[17]   0.00165083  -7.1499e-07
selparm[18]  0.000342847   8.5484e-08
