ParName   Value   Gradient
MGparm[1]     0.319095 -4.54842e-07
SR_parm[1]      14.1046  2.15231e-05
SR_parm[2]     0.663501  8.84284e-06
SR_parm[3]      1.20292  2.11415e-06
recdev1(1988)    -0.194493  -2.5589e-05
recdev1(1989)     0.241154 -1.59753e-05
recdev1(1990)     0.779936 -1.62474e-05
recdev1(1991)     0.988874 -1.18064e-06
recdev1(1992)     0.945689   9.3764e-06
recdev1(1993)      1.04882  2.16589e-05
recdev1(1994)      1.12663  2.56674e-05
recdev1(1995)     0.648671  1.83448e-05
recdev1(1996)     0.714421  2.33043e-05
recdev1(1997)     0.362506  6.25192e-06
recdev1(1998)    -0.206998 -1.94251e-06
recdev1(1999)    -0.488121 -1.50108e-05
recdev1(2000)       -1.044 -2.56475e-05
recdev1(2001)    -0.731831 -3.42812e-05
recdev1(2002)    -0.641487 -1.78974e-05
recdev1(2003)    -0.608799 -3.68534e-05
recdev1(2004)    0.0312555 -3.48818e-05
recdev1(2005)   -0.0289566 -1.66886e-05
recdev1(2006)    -0.152185  3.37687e-05
recdev1(2007)    -0.512996   1.0785e-05
recdev1(2008)    -0.624077  1.50567e-05
recdev1(2009)    -0.343792  2.74677e-05
recdev1(2010)    -0.196041  1.02741e-05
recdev1(2011)      0.04719 -1.22486e-05
recdev1(2012)    0.0768913  7.32242e-06
recdev1(2013)    0.0330212  1.58127e-05
recdev1(2014)     0.132481   1.5977e-05
recdev1(2015)   -0.0317575  1.26447e-05
recdev1(2016)    -0.168724     1.09e-05
recdev1(2017)    -0.430153 -7.78394e-06
recdev1(2018)    -0.378718  -1.4469e-06
recdev1(2019)    -0.201498   3.7539e-06
recdev1(2020)    -0.192917  3.49858e-06
Q_parm[1]    -0.162261  7.11816e-05
selparm[1]      4.00791  6.37399e-06
selparm[2]      1.55182 -1.72887e-05
selparm[3]      4.26155  5.14648e-06
selparm[4]      1.68775 -4.30188e-06
selparm[5]     0.625429  3.26018e-08
selparm[6]     0.210691 -2.59941e-07
selparm[7]      2.97421  4.41919e-06
selparm[8]    0.0121441  1.19424e-06
selparm[9]      1.86631 -3.41734e-06
selparm[10]      4.07336  1.28448e-07
selparm[11]     -0.18889  1.56681e-05
selparm[12]   -0.0596072 -1.61091e-05
selparm[13]    -0.121298  2.02609e-05
selparm[14]   -0.0712384  -4.2275e-06
selparm[15]  0.000448757 -5.33719e-06
selparm[16]  5.58431e-05  3.94872e-07
selparm[17]     0.017814  1.45846e-05
selparm[18] -0.000162717 -7.14577e-07
