ParName   Value   Gradient
MGparm[1]     0.334677  3.18521e-06
MGparm[2]            5  3.68619e-09
MGparm[3]           65  1.12611e-08
MGparm[4]     0.200001  3.26783e-08
MGparm[5]     0.100003  4.24688e-09
MGparm[6]     0.253765  1.20684e-06
MGparm[7]      1.8e-05 -8.64692e-07
MGparm[8]      2.79998 -8.48092e-08
SR_parm[1]       13.452 -0.000210432
SR_parm[2]     0.900214 -1.06685e-05
SR_parm[3]     0.126453  7.54419e-05
recdev1(1988)    -0.072554  1.59311e-05
recdev1(1989)     0.469951  1.20403e-05
recdev1(1990)      1.08696  1.01868e-05
recdev1(1991)      1.36354 -4.90003e-06
recdev1(1992)     0.482538 -1.11952e-05
recdev1(1993)     0.458046 -1.75402e-05
recdev1(1994)     0.447427 -2.18173e-05
recdev1(1995)     0.562341  -1.2123e-05
recdev1(1996)      0.63399 -1.61672e-05
recdev1(1997)     0.295772 -1.23865e-05
recdev1(1998)    -0.263393 -6.32435e-06
recdev1(1999)    -0.565391 -4.53518e-06
recdev1(2000)    -0.931839 -1.00879e-06
recdev1(2001)    -0.543193 -3.40962e-06
recdev1(2002)    -0.375296 -3.34576e-06
recdev1(2003)    -0.956017 -2.29706e-06
recdev1(2004)   -0.0987524 -4.84044e-06
recdev1(2005)   0.00931467 -2.70043e-07
recdev1(2006)    -0.015522  1.88439e-06
recdev1(2007)    -0.274011  3.75032e-06
recdev1(2008)    -0.486533  4.19116e-06
recdev1(2009)    -0.284862  4.00448e-06
recdev1(2010)    -0.185692  5.49404e-06
recdev1(2011)    0.0150911  6.22079e-06
recdev1(2012)     0.162273  5.77175e-06
recdev1(2013)     0.191374  5.98803e-06
recdev1(2014)     0.305226  6.50021e-06
recdev1(2015)    0.0140854  6.73642e-06
recdev1(2016)     -0.20058  6.57701e-06
recdev1(2017)    -0.522009    6.763e-06
recdev1(2018)    -0.422444   6.7132e-06
recdev1(2019)    -0.186354  6.79072e-06
recdev1(2020)    -0.113492   6.7981e-06
Q_parm[1]     0.273909 -5.91374e-06
selparm[1]      4.31833 -1.88986e-06
selparm[2]      1.71417  9.18483e-07
selparm[3]      4.36145 -6.74808e-07
selparm[4]      1.99599  3.50865e-07
selparm[9]    0.0615857  1.05937e-09
selparm[10]     0.424679  2.96786e-10
selparm[11]    -0.291713 -3.08365e-06
selparm[12]    -0.209962   6.9646e-07
selparm[13]    -0.193412 -1.11175e-06
selparm[14]    -0.321176  3.29858e-07
selparm[15]     0.109768  3.87902e-07
selparm[16]     0.130682  1.44121e-07
selparm[17]   0.00153644 -2.16946e-07
selparm[18]   0.00716826  9.21933e-08
